feature,frequency,rank,docfreq,group
good_good,95,248,62,all
life_without,95,249,56,all
twitter_account,94,250,94,all
time_get,94,251,94,all
ice_cream,94,252,94,all
say_hi,94,253,94,all
ask_question,94,254,94,all
salt_pepper,94,255,94,all
gotta_go,93,256,93,all
back_now,93,257,93,all
studi_show,93,258,93,all
need_know,93,259,93,all
fall_love,93,260,93,all
anoth_fun,93,261,93,all
park_lot,93,262,93,all
look_back,93,263,69,all
polic_depart,93,264,93,all
yes_just,92,265,92,all
plane_go,92,266,46,all
lebron_jame,92,267,92,all
work_new,91,268,91,all
super_bowl,91,269,91,all
hi_hi,91,270,37,all
everi_time,91,271,89,all
much_everyth,91,272,91,all
now_work,91,273,91,all
one_person,91,274,91,all
peyton_man,91,275,91,all
just_go,91,276,91,all
day_later,91,277,91,all
left_behind,91,278,91,all
superior_court,91,279,91,all
oh_yeah,90,280,90,all
just_rememb,90,281,90,all
welcom_new,90,282,90,all
follow_pleas,90,283,90,all
work_time,90,284,90,all
u_come,90,285,90,all
save_energi,90,286,45,all
want_hear,90,287,90,all
build_new,90,288,67,all
gaston_south,90,289,9,all
carolina_attract,90,290,9,all
love_babe,89,291,89,all
new_orlean,89,292,89,all
still_tri,89,293,89,all
get_togeth,89,294,89,all
cant_wait,89,295,89,all
just_sign,89,296,89,all
come_home,89,297,89,all
thank_everyon,89,298,89,all
sad_news,89,299,89,all
one_els,89,300,89,all
love_one,89,301,89,all
honest_make,88,302,88,all
just_call,88,303,88,all
indiana_stucco,88,304,22,all
someth_happen,88,305,88,all
yea_yea,88,306,44,all
u_ever,88,307,88,all
first_week,88,308,88,all
along_way,88,309,88,all
close_friend,88,310,88,all
love_toast,88,311,22,all
toast_mom,88,312,22,all
associ_press,88,313,88,all
can_give,87,314,87,all
walk_around,87,315,87,all
coupl_hour,87,316,81,all
wonder_day,87,317,87,all
actual_work,87,318,87,all
north_south,87,319,87,all
smell_like,87,320,87,all
time_go,87,321,87,all
know_know,87,322,87,all
like_see,87,323,67,all
last_weekend,87,324,87,all
hous_market,87,325,87,all
privat_sector,87,326,49,all
said_think,87,327,87,all
tell_stori,86,328,86,all
come_soon,86,329,86,all
ever_come,86,330,86,all
point_rebound,86,331,86,all
rebound_assist,86,332,86,all
look_way,86,333,86,all
text_back,86,334,86,all
thank_mention,86,335,86,all
regular_season,86,336,86,all
thing_want,86,337,86,all
must_say,86,338,86,all
fun_watch,85,339,85,all
meet_new,85,340,85,all
long_island,85,341,85,all
custom_servic,85,342,63,all
day_go,85,343,85,all
like_today,85,344,85,all
mental_health,85,345,85,all
realli_good,85,346,60,all
five_minut,85,347,85,all
polic_said,85,348,63,all
long_term,84,349,84,all
said_want,84,350,84,all
wait_till,84,351,84,all
back_just,84,352,84,all
head_start,84,353,84,all
tim_burton,84,354,84,all
want_us,84,355,84,all
use_time,84,356,82,all
know_want,84,357,84,all
like_go,84,358,84,all
spread_word,84,359,84,all
good_idea,84,360,84,all
three_time,84,361,84,all
creat_new,84,362,84,all
said_statement,84,363,84,all
gift_card,83,364,83,all
saw_spider,83,365,83,all
tonight_now,83,366,83,all
day_like,83,367,83,all
want_help,83,368,83,all
give_away,83,369,83,all
anoth_day,83,370,83,all
just_keep,83,371,83,all
polic_chief,83,372,83,all
design_team,82,373,82,all
sleep_night,82,374,82,all
small_busi,82,375,82,all
moment_life,82,376,82,all
get_idea,82,377,63,all
bin_laden,82,378,82,all
like_one,82,379,82,all
self_promot,82,380,54,all
black_white,82,381,82,all
next_door,82,382,52,all
six_game,82,383,82,all
offici_said,82,384,82,all
know_someon,81,385,81,all
wish_luck,81,386,81,all
sometim_like,81,387,81,all
make_big,81,388,81,all
good_reason,81,389,81,all
one_week,81,390,81,all
local_hospit,81,391,81,all
higher_educ,81,392,81,all
offic_order,80,393,80,all
oh_god,80,394,80,all
need_big,80,395,80,all
glad_like,80,396,80,all
go_school,80,397,80,all
hunger_game,80,398,80,all
make_money,80,399,80,all
think_new,80,400,80,all
long_run,80,401,80,all
wall_street,80,402,80,all
tampa_bay,80,403,80,all
past_month,80,404,80,all
much_fun,80,405,80,all
us_new,80,406,80,all
gum_tree,80,407,20,all
four_game,80,408,80,all
feel_love,79,409,79,all
rt_rt,79,410,79,all
get_see,79,411,79,all
can_read,79,412,79,all
now_avail,79,413,79,all
night_light,79,414,79,all
credit_card,79,415,79,all
heart_one,79,416,79,all
sure_can,79,417,59,all
iron_man,79,418,52,all
