feature,frequency,rank,docfreq,group
sleep,921,263,809,all
becom,919,264,877,all
soon,916,265,897,all
fact,915,266,915,all
welcom,914,267,914,all
side,913,268,769,all
brown,912,269,885,all
awesom,912,270,896,all
product,910,271,838,all
manag,908,272,850,all
countri,908,273,869,all
came,908,274,837,all
member,905,275,851,all
receiv,904,276,863,all
creat,904,277,904,all
program,901,278,789,all
serv,900,279,818,all
white,891,280,744,all
late,890,281,849,all
pay,890,282,834,all
readi,887,283,877,all
tomorrow,885,284,885,all
heart,880,285,878,all
drive,879,286,857,all
five,877,287,817,all
st,875,288,808,all
forward,873,289,873,all
present,872,290,868,all
children,872,291,751,all
order,869,292,802,all
news,869,293,848,all
sever,865,294,840,all
visit,864,295,864,all
class,861,296,830,all
bill,860,297,641,all
often,858,298,802,all
offici,857,299,770,all
small,853,300,770,all
earli,852,301,833,all
favorit,847,302,806,all
light,845,303,766,all
money,844,304,795,all
movi,844,305,730,all
togeth,839,306,799,all
p.m,834,307,548,all
communiti,833,308,777,all
less,831,309,770,all
presid,831,310,784,all
consid,830,311,798,all
phone,829,312,759,all
sweet,829,313,769,all
paper,828,314,642,all
lead,824,315,770,all
base,822,316,784,all
actual,822,317,804,all
add,821,318,716,all
lost,821,319,797,all
save,820,320,752,all
store,819,321,655,all
finish,813,322,725,all
law,813,323,744,all
stay,810,324,810,all
gonna,810,325,810,all
author,809,326,799,all
sign,808,327,786,all
sunday,806,328,798,all
babi,806,329,756,all
practic,802,330,705,all
video,802,331,802,all
water,800,332,673,all
posit,797,333,732,all
blue,796,334,667,all
mayb,796,335,767,all
american,791,336,714,all
along,791,337,773,all
possibl,790,338,776,all
whole,789,339,778,all
deal,789,340,687,all
pass,788,341,788,all
write,787,342,722,all
sit,787,343,752,all
district,787,344,704,all
cost,787,345,732,all
complet,786,346,775,all
board,784,347,747,all
forc,782,348,759,all
email,782,349,679,all
begin,781,350,781,all
eye,781,351,744,all
fire,780,352,606,all
cool,779,353,778,all
field,778,354,716,all
d,776,355,748,all
ago,775,356,773,all
thursday,769,357,680,all
young,768,358,768,all
yesterday,767,359,734,all
least,766,360,766,all
step,765,361,763,all
health,764,362,649,all
wrong,763,363,723,all
releas,763,364,730,all
birthday,760,365,751,all
caus,760,366,760,all
idea,759,367,729,all
experi,759,368,758,all
took,759,369,748,all
men,758,370,654,all
system,757,371,676,all
beauti,757,372,740,all
sale,757,373,700,all
continu,755,374,698,all
decid,754,375,725,all
saw,753,376,732,all
anyth,753,377,707,all
abl,752,378,750,all
fight,751,379,700,all
crazi,748,380,688,all
action,748,381,716,all
court,748,382,699,all
total,747,383,696,all
stuff,743,384,743,all
ur,741,385,652,all
success,741,386,706,all
rock,740,387,700,all
depart,740,388,697,all
price,739,389,672,all
s,736,390,622,all
six,732,391,722,all
stand,731,392,703,all
perform,725,393,725,all
record,725,394,694,all
park,725,395,637,all
accord,720,396,713,all
summer,718,397,711,all
recent,715,398,715,all
tax,715,399,581,all
rememb,714,400,705,all
god,711,401,622,all
site,709,402,636,all
cleveland,708,403,612,all
other,703,404,660,all
sound,702,405,664,all
gave,702,406,638,all
matter,700,407,659,all
coach,700,408,605,all
april,700,409,699,all
larg,700,410,697,all
import,697,411,641,all
